Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,60.22313297,69.73739941,73.1040376,76.55130043,78.26261009,72.85067873,71.82175623,72.5564589,73.79623168,74.58227848,56.54508839,
,AFE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,29.61780894,31.29559524,29.68944385,28.93223099,27.51750673,22.88942511,21.8672466,21.31640329,25.10505291,23.62447576,22.31826218,25.34976357
Afganistán,AFG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,
,AFW,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,29.49430557,34.24996608,34.03438073,23.66689473,23.44138073,17.45925552,16.87936768,20.8168306,22.51201354,21.60034164,,
Angola,AGO,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,61.54311589,60.66994752,55.94013063,50.74708579,44.69502946,29.75459795,28.12448545,29.004102,40.83628983,40.79075505,37.91127298,37.87234693
Albania,ALB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,27.97943524,29.24153714,28.93748776,28.91631514,28.21300146,27.26739115,28.97789918,31.56980805,31.57192721,31.30427013,22.70398154,30.6161824
Andorra,AND,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,
El mundo árabe,ARB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,47.94828801,53.49423062,55.00907464,53.26931757,49.37063928,41.34018699,38.15924122,42.19143159,46.2702677,44.45765136,37.54115834,
Emiratos Árabes Unidos,ARE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,82.24238564,90.07656424,100.2464817,100.5477955,99.56080373,100.8705122,101.0029881,99.59493841,93.0481228,96.84353346,93.41508906,
Argentina,ARG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.69594407,16.59181663,18.30089859
Armenia,ARM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,19.74841532,22.52318826,27.56181148,28.35348514,28.56038166,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136,29.76367804,35.03118197
Samoa Americana,ASM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,63.52530541,58.77192982,75.46875,71.78683386,66.718507,63.59583952,63.93442623,59.1503268,68.23161189,61.57407407,60.08462623,
Antigua y Barbuda,ATG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,79.58755308,82.4971839,79.01575994,80.59161544,82.20123997,76.03620877,72.61045999,67.74130197,64.52485557,70.88471449,43.70441866,
Australia,AUS,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,19.81689486,21.44505458,21.50467661,19.9862801,21.09695456,20.0692826,19.26986314,21.2253185,21.86971295,24.16972729,23.98385353,22.18218586
Austria,AUT,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,51.26216033,53.94867085,53.9736762,53.4412933,53.38657905,53.08906056,52.40639365,54.05115314,55.44065438,55.44220654,51.4350079,55.94888054
Azerbaiyán,AZE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,54.30472154,56.42698053,52.97468019,48.41583308,43.27355666,37.79477749,46.42764939,48.54786473,54.09229386,49.0506275,35.62355587,46.66172003
Burundi,BDI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,9.700001639,8.800000284,9.69609532,9.095256069,8.696021194,6.417273565,6.38452219,6.026574329,5.685654314,5.172036838,4.549322696,5.000293841
Bélgica,BEL,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,75.85006448,80.69736291,80.40449051,79.3243484,79.80100907,77.80528215,79.42961547,83.18241025,83.02462313,82.17413933,80.04203783,85.35091687
Benin,BEN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,23.07204807,20.8496515,23.89673687,27.57056532,31.43084112,24.72045121,27.60678807,27.20559478,27.27423062,29.63052719,19.87247043,
Burkina Faso,BFA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,20.51584886,26.19550052,26.59808542,27.07698545,26.93200415,26.10764554,25.9159648,26.45238564,28.07890614,27.61611212,,
Bangladesh,BGD,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,16.02411269,19.92207496,20.16158886,19.53787411,18.98966,17.33667379,13.92120448,12.81974689,12.67478794,13.09475734,10.44278773,10.6627789
Bulgaria,BGR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,50.10763622,58.80294825,60.35373924,64.58169578,64.60088717,63.8000874,63.87048055,66.99459564,65.69596643,63.93434335,55.3232894,63.03359219
Bahrein,BHR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,69.53731774,99.41866913,102.1455248,104.8048033,96.05075125,83.10720991,74.20082753,75.77968142,79.25252192,76.48596076,72.71532474,
Bahamas,BHS,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,34.95328732,37.43526853,38.12695303,39.78869239,37.70993459,37.00418989,33.26263668,32.06933385,35.85584597,35.6884058,25.28790144,27.49495923
Bosnia y Herzegovina,BIH,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,29.69554219,32.03597181,32.35054144,33.74304682,33.98912011,35.53234321,36.34176466,40.87253146,42.60934992,40.57012012,34.52456329,44.94956958
Belarús,BLR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,51.37288535,78.46536152,78.77690728,58.33357811,54.94100406,58.01076657,62.50934712,66.7896002,70.45504526,65.09458399,61.01214926,72.11079219
Belice,BLZ,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,58.59825924,62.36271173,64.09708238,65.25924104,61.81077284,58.45805387,51.9636576,54.72905508,57.20635217,59.65042331,43.55992712,51.48742897
Bermudas,BMU,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,50.79499274,52.53924198,50.51254369,51.61319109,51.16124321,49.97083946,49.33005658,48.53814925,51.25812053,50.64927227,49.58621914,49.17030321
Bolivia,BOL,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,41.18745614,44.09170185,47.16619662,44.09247953,43.29308799,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228,20.27258979,27.82390202
Brasil,BRA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,10.86558477,11.58251268,11.87753907,11.74223064,11.01194282,12.90019142,12.46667904,12.51896787,14.63499949,14.12291919,16.79506843,20.09727521
Barbados,BRB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,38.9255609,37.93181622,39.28768513,40.92577252,40.01516634,40.05118969,36.53550608,35.75309352,35.52436697,36.6201692,29.62840954,
Brunei Darussalam,BRN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,67.40746923,69.50607218,70.16126866,68.04187464,68.17708045,52.21059737,49.57690627,49.5732417,51.93227638,57.94604054,57.35611139,80.16891086
Bhután,BTN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,43.48069242,42.20491528,39.64735231,41.43022537,37.45195066,34.4356494,29.61697448,30.08318938,30.81770601,33.93906381,29.78885292,
Botswana,BWA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,43.63546396,49.95053461,49.2507438,61.52263966,60.56029912,52.90317233,54.61135081,42.96473613,44.53578693,37.15431087,31.35372093,
República Centroafricana,CAF,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,11.62580107,13.1278201,11.550133,14.97295479,16.67578759,17.06766062,14.82187966,17.25977376,15.94003,15.75538,15.17248,14.18648
Canadá,CAN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,29.16738193,30.67839192,30.35302552,30.33193867,31.73657587,31.84996096,31.50257241,31.45441015,32.28018242,31.90853262,29.36344802,30.6905379
Europa Central y del Báltico,CEB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,52.22448595,56.82464879,59.04063159,60.23030986,61.53988504,62.01273444,63.00205393,64.38023996,64.29740702,63.09791081,60.66327862,65.21518009
Suiza,CHE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,64.39853517,65.8992879,67.406452,71.38153933,63.80969914,62.39676988,65.67369307,65.07978297,66.15565527,65.53170428,62.34201861,69.94471664
Islas del Canal,CHI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,
Chile,CHL,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,37.90399432,37.68978027,33.8455905,32.08746359,33.00390297,29.19107949,27.92315811,28.33137683,28.52904474,27.83413159,31.53353445,31.89080305
China,CHN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,27.18533272,26.56818935,25.49252222,24.59925444,23.51006091,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.54106001,20.00981407
Côte d'Ivoire,CIV,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,33.49957459,35.28137635,34.9824904,29.16040266,28.15695877,27.35560794,24.59506751,24.92012188,22.64068269,23.77627756,21.55155517,26.00982166
Camerún,CMR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,22.3688903,24.22968662,23.87672384,23.63910867,23.60997553,20.98914963,18.94997876,18.35109858,18.73625347,19.85009075,15.03506913,17.76674028
