Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,75.25045537,84.68869123,83.55052339,85.33688306,84.60768615,72.9826546,70.41752481,71.25564589,74.63363573,74.64978903,72.7232043,
,AFE,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,30.61720771,31.7847633,32.92108092,33.60139719,31.6315652,29.35849979,26.49330511,24.65281536,28.49264965,26.606198,24.25002528,25.99064537
Afganistán,AFG,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,,,,,,,,,
,AFW,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,25.94028026,28.23439745,23.03037231,21.88272002,21.02411752,20.22588837,21.27795578,22.41609272,24.69303696,25.98714246,,
Angola,AGO,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,42.58051942,39.31255882,35.85996671,36.06484697,34.63789332,33.13391814,25.24567262,23.25272022,25.5417235,17.03878307,18.94766828,15.04979146
Albania,ALB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,48.563955,51.97703179,47.57271286,46.95739871,47.19484414,44.53361519,45.83196365,46.62446595,45.23619092,44.97492449,37.24776794,43.90210968
Andorra,AND,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,,,,,,,,,
El mundo árabe,ARB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,37.09010298,35.74677024,36.48517953,37.64283713,38.81932068,41.182553,38.53954072,39.28444655,38.00926371,38.84201868,36.80745856,
Emiratos Árabes Unidos,ARE,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,61.63508943,61.58937762,64.00284354,64.72816949,68.93145912,74.35085088,75.74461474,75.40941203,66.68065074,70.85061919,68.79569543,
Argentina,ARG,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.51850312,13.55632492,15.12830571
Armenia,ARM,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,44.89456066,46.9123854,48.39986448,49.20156302,47.21848531,41.95668313,42.3336876,48.98633088,53.08021299,54.76335277,39.72731873,42.97951985
Samoa Americana,ASM,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,94.41535777,98.77192982,100.9375,102.0376176,108.0870918,98.81129272,95.23099851,102.2875817,103.599374,94.75308642,91.81946403,
Antigua y Barbuda,ATG,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,73.25833712,69.87843548,72.51239251,75.61968833,73.95355454,63.75049528,64.26247428,66.12956599,70.53929729,68.52545025,47.82072351,
Australia,AUS,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,20.73948197,20.4123992,21.67276524,21.28980106,21.37595688,21.55633878,21.54789883,20.71443756,21.51251312,21.67531245,20.05567262,17.83479519
Austria,AUT,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,47.75763591,51.15411778,51.17850123,50.62512079,50.1169562,49.33825483,48.57568463,50.88769179,52.44102241,52.03602076,48.56393495,55.04430506
Azerbaiyán,AZE,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,20.68126693,24.08106448,25.28838935,26.26001169,26.20966854,34.80673042,43.64966934,41.85445095,37.58028267,36.76751791,36.39431178,29.90898978
Burundi,BDI,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,29.80000376,34.20000255,34.00927787,37.50882302,34.29900461,16.42100985,16.65920307,16.21371877,20.91404815,23.8541694,22.22401086,23.81836656
Bélgica,BEL,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,74.1476086,80.79636075,80.34153972,78.52649664,78.98220685,76.38726436,78.23541051,82.1434261,83.26603153,81.51894377,78.63541271,84.01491973
