Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Comercio (% del PIB),NE.TRD.GNFS.ZS,135.4735883,154.4260906,156.654561,161.8881835,162.8702962,145.8333333,142.239281,143.8121048,148.4298674,149.2320675,129.2682927,
,AFE,Comercio (% del PIB),NE.TRD.GNFS.ZS,64.49842099,64.934451,62.82298371,62.37403519,59.63535782,54.48667272,52.55418182,51.05241072,54.74650375,51.43618955,49.43524497,50.54165884
Afganistán,AFG,Comercio (% del PIB),NE.TRD.GNFS.ZS,,,,,,,,,,,,
,AFW,Comercio (% del PIB),NE.TRD.GNFS.ZS,53.47543355,60.79523131,55.76790468,44.0048481,43.54267048,37.72786413,36.29729822,40.17662059,44.36833145,45.64844758,,
Angola,AGO,Comercio (% del PIB),NE.TRD.GNFS.ZS,104.1236353,99.98250633,91.80009734,86.81193276,79.33292278,62.88851609,53.37015807,52.25682223,66.37801333,57.82953812,56.85894125,52.92213839
Albania,ALB,Comercio (% del PIB),NE.TRD.GNFS.ZS,76.54339024,81.21856893,76.51020062,75.87371385,75.4078456,71.80100634,74.80986282,78.194274,76.80811813,76.27919462,59.95174948,74.51829208
Andorra,AND,Comercio (% del PIB),NE.TRD.GNFS.ZS,,,,,,,,,,,,
El mundo árabe,ARB,Comercio (% del PIB),NE.TRD.GNFS.ZS,87.6105169,90.46262861,92.20580815,91.24160595,89.07394859,84.97923656,79.33652789,82.81228969,82.73328502,82.2316797,73.6672705,
Emiratos Árabes Unidos,ARE,Comercio (% del PIB),NE.TRD.GNFS.ZS,143.8774751,151.6659419,164.2493252,165.275965,168.4922629,175.2213631,176.7476028,175.0043504,159.7287735,167.6941527,162.2107845,
Argentina,ARG,Comercio (% del PIB),NE.TRD.GNFS.ZS,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.21444719,30.14814156,33.4292043
Armenia,ARM,Comercio (% del PIB),NE.TRD.GNFS.ZS,64.64297597,69.43557366,75.96167596,77.55504816,75.77886696,71.68207434,76.07796746,87.20237654,92.47310702,96.11415413,69.49099677,78.01070182
Samoa Americana,ASM,Comercio (% del PIB),NE.TRD.GNFS.ZS,157.9406632,157.5438596,176.40625,173.8244514,174.8055988,162.4071322,159.1654247,161.4379085,171.8309859,156.3271605,151.9040903,
